the_geom,OBJECTID,Sensor Status (1=Active 0=Inactive),Wind Direction Text,Precipitation Type,Precipitation Intensity,RWIS RPU ID,PLSS Township,PLSS Section,PLSS Range,RWIS Site Number,RWIS Name,NWS ID,Latitude (LL84),Longitude (LL84),Altitude,County Name,Route Name,Mile Post,Garage Name,County Number,Data Last Pulled from RWIS Sensor (UTC),REST Service Data Last Update (UTC),Cost Center,DOT District,Air Temperature (F),Relative Humidity (%),Dew Point (F),Visibility (Miles),Average Windspeed (MPH),Max Windspeed (MPH),Average Windspeed (Knots),Max Windspeed (Knots),Wind Direction Degrees,Precipitation Rate (Inch Per Hour),Precipitation Accumulation (Inches),Sensor ID,UTC Offset,RAMS Route Measure,RAMS Route ID
POINT (-95.9173 41.5495),10,1,E,None,None,31,T78N,20,R44W,512031,Missouri Valley,RMVI4,41.5495,-95.9173,1015,HARRISON,I-29,76,Missouri Valley,43,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,554810,4,80.4,48,59,9999,0,9999,0,9999,70,0,9999,,-05:00,75.9,S001910029N
POINT (-91.9534 42.9649),54,1,N,None,None,70,T94N,7,R09W,512070,Hawkeye,HKYI4,42.9649,-91.9534,1074.5,FAYETTE,US 18,257,West Union,33,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552833,2,66.7,71,57.4,9999,4,5,3.5,4.3,360,9999,9999,,-05:00,263.4,S001920018E
POINT (-92.0278 41.9641),74,0,NA,NA,NA,79,,,,512079,Van Horne,,41.9641,-92.0278,,BENTON,US 218 S,135,Newhall,6,,08/30/2023 01:21:06 AM +0000,556603,6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,140.18028111,S001920218S
POINT (-96.0843 42.997833),59,1,NW,Rain,Light,2,T95N,31,R44W,512002,Alton,RTNI4,42.997833,-96.0843,1410,SIOUX,IA 10,24,Alton,84,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553808,3,70.7,69,60.3,9999,5,6,4.3,5.2,330,0,0.1,,-05:00,24.2,S001930010E
POINT (-93.5222 41.659667),45,1,E,None,None,3,T79N,10,R23W,512003,Altoona,RTOI4,41.659667,-93.5222,859.6,POLK,I-80,141,Altoona,77,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551806,1,75,59,60.1,2.83,2,8,1.7,7,70,0,0,,-05:00,140.3,S001910080E
POINT (-95.8959 41.2325),53,1,N,None,None,12,T74N,10,R44W,512012,Council Bluffs,RCBI4,41.2325,-95.8959,879,POTTAWATTAMIE,I-80,1,Council Bluffs North,78,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,554803,4,82.2,46,60,9999,6,9999,5.2,9999,360,0,0,,-05:00,0.8,S001910080E
POINT (-91.9758 42.3125),62,1,N,None,None,45,T87N,26,R10W,512045,Urbana,RURI4,42.3125,-91.9758,991,BUCHANAN,I-380,50,Urbana,10,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556602,6,75.7,50,56.3,1.88,0,0,0,0,10,0,0,,-05:00,49.9,S001910380N
POINT (-93.0583 42.4534),39,1,NW,None,None,50,T88N,10,R19W,512050,Steamboat Rock,RSBI4,42.4534,-93.0583,1111,HARDIN,US 20,181,Iowa Falls,42,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551608,1,68.9,72,59.5,9999,0,0,0,0,320,0,0,,-05:00,126.4,S001920020W
POINT (-92.4592 43.067167),37,1,N,None,None,33,T95N,2,R14W,512033,New Hampton,RNHI4,43.067167,-92.4592,1072,CHICKASAW,US 18,224,New Hampton,19,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552819,2,67.8,61,54.3,7.1,1,3,0.9,2.6,20,0,0,,-05:00,231.4,S001920018E
POINT (-91.6997 43.2455),36,1,NW,Light,NA,15,T97N,5,R07W,512015,Decorah,RDCI4,43.2455,-91.6997,1017,WINNESHIEK,IA 9,265,Decorah,96,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552896,2,70,9999,59,7.1,0,1,0,0.9,330,0,0,,-05:00,264.8,S001930009E
POINT (-95.1515 42.7475),22,1,SE,Rain,Heavy,43,T92N,36,R37W,512043,Storm Lake,RSLI4,42.7475,-95.1515,1329,BUENA VISTA,US 71,177,Storm Lake,11,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553805,3,73.9,79,67.3,0.77,0,1,0,0.9,140,0.2,0.2,,-05:00,171.2,S001920071N
POINT (-93.6113 41.595667),2,1,N,None,None,17,T78N,3,R24W,512017,Des Moines I-235,RDMI4,41.595667,-93.6113,833,POLK,I-235,9,Des Moines North,77,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551807,1,78.6,51,58.8,9999,8,9999,7,9999,10,0,0,,-05:00,5.5,S001910235W
POINT (-96.347864 42.54972),52,1,SE,None,None,62,T89N,1,R47W,512062,Sioux City,RSMI4,42.54972,-96.347864,1138,WOODBURY,IA 376,99,Sioux City Leeds,79,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553603,3,81.1,50,60.8,9999,1,2,0.9,1.7,120,9999,9999,,-05:00,0.9,S001930376S
POINT (-90.6777 41.602333),20,1,N,None,None,14,T79N,36,R02E,512014,Davenport,RDVI4,41.602333,-90.6777,676,SCOTT,I-280,0,Davenport,82,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556812,6,70.5,68,59.4,9999,8,8,7,7,340,0,0,,-05:00,9.5,S001910280W
POINT (-92.062 40.6578),31,1,N,None,None,59,T68N,30,R10W,512059,Cantril,RCLI4,40.6578,-92.062,693,VAN BUREN,IA 2,219,Bloomfield,89,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,555826,5,64,60,49.8,9999,3,6,2.6,5.2,340,0,0,,-05:00,212.7,S001930002E
POINT (-93.2597 41.689),27,1,N,None,None,53,T80N,35,R21W,512053,Colfax,RCFI4,41.689,-93.2597,806,JASPER,I-80,155,Newton,50,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551804,1,73,68,61.9,9999,2,4,1.7,3.5,10,0,0,,-05:00,154.2,S001910080E
POINT (-92.9617 42.003667),9,1,N,None,None,29,T83N,17,R18W,512029,Marshalltown,RMTI4,42.003667,-92.9617,955,MARSHALL,US 30,183,Marshalltown,64,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551604,1,75,59,58,9999,5,7,4.3,6.1,340,0,0,,-05:00,148.8,S001920030W
POINT (-92.8725 41.390167),15,1,N,None,None,37,T76N,13,R18W,512037,Pella,RPLI4,41.390167,-92.8725,890,MARION,IA 163,45,Oskaloosa,63,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,555662,5,72.1,60,57.7,9999,3,4,2.6,3.5,350,0,0,,-05:00,120.8,S001930163W
POINT (-93.5702 42.034),46,1,N,None,None,4,T83N,6,R23W,512004,Ames,RAMI4,42.034,-93.5702,1027,STORY,I-35,114,Ames,85,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551602,1,72.9,66,60.8,9999,2,9,1.7,7.8,350,0,0,,-05:00,113.5,S001910035N
